address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings
24 Lawrence Ave,"San Francisco, CA, 94112",2.0,1.0,850000,2,1594,9223
1734 Bay St #106,"San Francisco, CA, 94123",2.0,1.0,850000,2,1594,9223
1201-1203 45th Ave #1203,"San Francisco, CA, 94122",2.0,1.0,850000,2,1594,9223
1273 Rhode Island St,"San Francisco, CA, 94107",2.0,2.0,859000,2,1611,9321
674 Joost Ave,"San Francisco, CA, 94127",2.0,1.0,859000,2,1611,9321
563 Minna St #1,"San Francisco, CA, 94103",2.0,2.0,900000,2,1611,9266
276 Friedell,"San Francisco, CA, 94124",2.0,2.0,865000,2,1623,9386
89 Westwood Dr,"San Francisco, CA, 94112",2.0,1.0,875000,2,1641,9494
620 Prentiss St,"San Francisco, CA, 94110",2.0,1.0,879000,2,1649,9538
4161 23rd St,"San Francisco, CA, 94114",2.0,1.0,879000,2,1649,9538
1338 48th Ave,"San Francisco, CA, 94122",2.0,2.0,879000,2,1649,9538
180 7th St #301,"San Francisco, CA, 94103",2.0,2.0,879000,2,1649,9538
539 Los Palmos Dr,"San Francisco, CA, 94127",2.0,1.0,879000,2,1649,9538
112 Russ St,"San Francisco, CA, 94103",2.0,2.0,885000,2,1660,9603
236 Shipley St #304,"San Francisco, CA, 94107",2.0,2.0,885000,2,1660,9603
946 Stockton St #6B,"San Francisco, CA, 94108",2.0,1.5,888000,2,1666,9635
70 Tingley St,"San Francisco, CA, 94112",2.0,1.0,888000,2,1666,9635
1711 19th Ave,"San Francisco, CA, 94122",2.0,2.0,888000,2,1666,9635
616 20th St #510,"San Francisco, CA, 94107",2.0,1.0,888000,2,1666,9635
601 Van Ness Ave #8,"San Francisco, CA, 94102",2.0,2.0,895000,2,1679,9711
218 Justin Dr,"San Francisco, CA, 94112",2.0,1.0,895000,2,1679,9711
148 Cuvier St,"San Francisco, CA, 94112",2.0,1.0,895000,2,1679,9711
1 Crescent Way #1109,"San Francisco, CA, 94134",2.0,2.0,895000,2,1679,9711
2259 44th Ave,"San Francisco, CA, 94116",2.0,2.0,895000,2,1679,9711
1846 38th Ave,"San Francisco, CA, 94122",2.0,1.0,898000,2,1685,9744
945 Capp St #4,"San Francisco, CA, 94110",2.0,1.0,898000,2,1685,9744
1463 40th Ave,"San Francisco, CA, 94122",2.0,1.0,899000,2,1686,9755
15 Sunview Dr,"San Francisco, CA, 94131",2.0,1.0,899000,2,1686,9755
3839 Folsom St,"San Francisco, CA, 94110",2.0,1.0,899000,2,1686,9755
155 Lexington St,"San Francisco, CA, 94110",2.0,1.0,899000,2,1686,9755
1655 48th Ave,"San Francisco, CA, 94122",2.0,1.0,899000,2,1686,9755
375 Prentiss St,"San Francisco, CA, 94110",2.0,1.0,899000,2,1686,9755
2628 Sutter St #A,"San Francisco, CA, 94115",2.0,2.0,899000,2,1686,9755
145 Gardenside Dr #9,"San Francisco, CA, 94131",2.0,1.5,899000,2,1686,9755
920 Baker St #A,"San Francisco, CA, 94118",2.0,1.0,899000,2,1686,9755
1463 19th Ave,"San Francisco, CA, 94122",2.0,1.0,899000,2,1686,9755
3184 Mission St #304,"San Francisco, CA, 94110",2.0,2.0,899000,2,1686,9755
1425 43rd Ave,"San Francisco, CA, 94122",2.0,2.0,899000,2,1686,9755
430 Hayes #201,"San Francisco, CA, 94102",2.0,1.0,899000,2,1686,9755
1835 Franklin St #602,"San Francisco, CA, 94109",2.0,2.0,899000,2,1686,9755
26 Staples Ave,"San Francisco, CA, 94131",2.0,1.0,899000,2,1686,9755
789 Buena Vista Ave #202,"San Francisco, CA, 94117",2.0,1.0,899000,2,1686,9755
2512 23rd Ave,"San Francisco, CA, 94116",2.0,1.0,899000,2,1686,9755
388 Fulton St #205,"San Francisco, CA, 94102",2.0,1.0,899000,2,1686,9755
921-A Florida St,"San Francisco, CA, 94110",2.0,1.0,899000,2,1686,9755
319 Naples St,"San Francisco, CA, 94112",2.0,1.0,899000,2,1686,9755
1119 Cayuga Ave,"San Francisco, CA, 94112",2.0,2.0,899000,2,1686,9755
140 South Van Ness Ave #1022,"San Francisco, CA, 94103",2.0,2.0,899000,2,1686,9755
1200 Gough St #7A,"San Francisco, CA, 94109",2.0,2.0,900000,2,1688,9766
166 Park St,"San Francisco, CA, 94110",2.0,1.0,900000,2,1688,9766
3133 Taraval St,"San Francisco, CA, 94116",2.0,1.0,900000,2,1688,9766
317 29th St #303,"San Francisco, CA, 94131",2.0,2.0,948000,2,1697,9670
236 Shipley St #202,"San Francisco, CA, 94107",2.0,2.0,915000,2,1716,9928
601 Van Ness Ave #105,"San Francisco, CA, 94102",2.0,2.0,925000,2,1735,10037
972 Plymouth Ave,"San Francisco, CA, 94112",2.0,2.0,929000,2,1743,10080
1539 24th Ave,"San Francisco, CA, 94122",2.0,1.0,929000,2,1743,10080
260 King St #671,"San Francisco, CA, 94107",2.0,2.0,930000,2,1745,10091
1299 Bush St #403,"San Francisco, CA, 94109",2.0,2.0,979000,2,1753,10080
