Address,PropID
"75 Brighton AveSan Francisco, CA, 94122
            
            
            3 bd, 2 ba, $849,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,062
            
            Yearly tax savings² 
            
            $6,142",prop--948b616194566685b79e
"1941 48th AveSan Francisco, CA, 94116
            
            
            3 bd, 1 ba, $849,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,062
            
            Yearly tax savings² 
            
            $6,142",prop--403fd7c541442f943681
"140 Ocean AveSan Francisco, CA, 94112
            
            
            3 bd, 2 ba, $868,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,085
            
            Yearly tax savings² 
            
            $6,279",prop--517c54d417479b38a430
"215 Bradford StSan Francisco, CA, 94110
            
            
            3 bd, 1 ba, $899,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,124
            
            Yearly tax savings² 
            
            $6,503",prop--c707e9ddd75490dbe89d
"1523 41st AveSan Francisco, CA, 94122
            
            
            3 bd, 2 ba, $899,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,124
            
            Yearly tax savings² 
            
            $6,503",prop--3983170db80fa4d14330
"2574 44th AveSan Francisco, CA, 94116
            
            
            3 bd, 1 ba, $900,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,126
            
            Yearly tax savings² 
            
            $6,510",prop--262211e8c5cecd4e06bf
"39 Brewster StSan Francisco, CA, 94110
            
            
            3 bd, 2 ba, $929,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,162
            
            Yearly tax savings² 
            
            $6,720",prop--54a0a5c7b40b3cef5959
"144 Putnam StSan Francisco, CA, 94110
            
            
            3 bd, 1 ba, $1,045,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,307
            
            Yearly tax savings² 
            
            $7,559",prop--c294c89e1f493d135841
"849 44th AveSan Francisco, CA, 94121
            
            
            3 bd, 1 ba, $1,049,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,312
            
            Yearly tax savings² 
            
            $7,588",prop--a7f6b763a5fcf9646863
"476 Joost AveSan Francisco, CA, 94127
            
            
            3 bd, 2 ba, $1,075,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,344
            
            Yearly tax savings² 
            
            $7,776",prop--228e503e598999b54d27
"1951 9th AveSan Francisco, CA, 94116
            
            
            3 bd, 2 ba, $1,089,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,362
            
            Yearly tax savings² 
            
            $7,878",prop--d9696bde0d58d304c6fe
"2300 34th AveSan Francisco, CA, 94116
            
            
            3 bd, 1 ba, $1,150,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,438
            
            Yearly tax savings² 
            
            $8,319",prop--423deaff595f95bb29c3
"29 LevantSan Francisco, CA, 94114
            
            
            3 bd, 2 ba, $1,195,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,494 + HOA
            
            Yearly tax savings² 
            
            $8,644",prop--4c4c80b3bdb963eec496
"490 Joost AveSan Francisco, CA, 94127
            
            
            3 bd, 1 ba, $1,195,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,494
            
            Yearly tax savings² 
            
            $8,644",prop--4a4dd8af1d20371a5532
"4045 Ocean AveSan Francisco, CA, 94132
            
            
            3 bd, 2 ba, $1,195,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,494
            
            Yearly tax savings² 
            
            $8,644",prop--98344b4eecee871c9941
"396 Guerrero StSan Francisco, CA, 94103
            
            
            3 bd, 2 ba, $1,295,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,619 + HOA
            
            Yearly tax savings² 
            
            $9,368",prop--2ef97942c84d39dde520
"28 Winfield StSan Francisco, CA, 94110
            
            
            3 bd, 1 ba, $1,295,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,619
            
            Yearly tax savings² 
            
            $9,368",prop--5cc6ae995c0d5b0e9289
"650 Chestnut St #405San Francisco, CA, 94133
            
            
            3 bd, 2 ba, $1,449,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,812 + HOA
            
            Yearly tax savings² 
            
            $10,482",prop--7ddfa1b7f552a7647a79
"2172 Fell StSan Francisco, CA, 94117
            
            
            3 bd, 2 ba, $1,589,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $1,987 + HOA
            
            Yearly tax savings² 
            
            $11,495",prop--e982b48a9bab4e90af30
"2125 Bryant St #308San Francisco, CA, 94110
            
            
            3 bd, 2.5 ba, $1,695,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,120 + HOA
            
            Yearly tax savings² 
            
            $12,261",prop--9825fa56c018d4743e2c
"110 Montcalm StSan Francisco, CA, 94110
            
            
            3 bd, 2 ba, $1,790,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,239
            
            Yearly tax savings² 
            
            $12,949",prop--597c164df8118377258f
"3583 Sacramento StSan Francisco, CA, 94118
            
            
            3 bd, 2 ba, $1,799,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,250 + HOA
            
            Yearly tax savings² 
            
            $13,014",prop--14aa56f3e1ca728a79f5
"152 Fairmount StSan Francisco, CA, 94131
            
            
            3 bd, 2 ba, $1,995,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,495
            
            Yearly tax savings² 
            
            $14,432",prop--2aaf51c9f8f622994bf2
"148 Lower TerSan Francisco, CA, 94114
            
            
            3 bd, 3.5 ba, $1,995,000
            
            
            3 co-owners
            
            Monthly cost²  
            
            $2,495 + HOA
            
            Yearly tax savings² 
            
            $14,432",prop--86010eadb33aedd2c73c
