address,lat,lng
"1335 Laguna St #6 San Francisco, CA, 94115",37.7834886,-122.4278332
"218 Grafton Ave San Francisco, CA, 94112",37.720255,-122.455537
"212 Howth St San Francisco, CA, 94112-2416",37.7206831,-122.4512892
"28 Redondo St San Francisco, CA, 94124",37.718347,-122.392583
"1676 Wallace Ave San Francisco, CA, 94124",37.728465,-122.39232
"205 Salinas Ave San Francisco, CA, 94124",37.7210309,-122.3985833
"239 Arleta Ave San Francisco, CA, 94134",37.7139049,-122.407635
"1151 Plymouth Ave San Francisco, CA, 94112",37.7229226,-122.4563504
"400 Alemany Blvd #1 San Francisco, CA, 94110",37.7331285,-122.41458
"515 Delta St San Francisco, CA, 94134",37.713459,-122.409152
"350 Athens St San Francisco, CA, 94112",37.7224901,-122.4280342
"441 Rolph St San Francisco, CA, 94112",37.7126919,-122.434202
"2108 Great Highway Hwy #3 San Francisco, CA, 94116",37.74689180000001,-122.5074052
"5810 Mission St #304 San Francisco, CA, 94112",37.7095133,-122.4515186
"727 Andover St San Francisco, CA, 94110",37.73408999999999,-122.4167056
"343 Stoneridge Ln #5203 San Francisco, CA, 94134",37.71023,-122.426265
"171 Ledyard St San Francisco, CA, 94124",37.7319561,-122.4003737
"60 Mercury St San Francisco, CA, 94124-2253",37.7317211,-122.4017333
"1387 Goettingen San Francisco, CA, 94134-2234",37.715092,-122.401447
"400 Alemany Blvd #19 San Francisco, CA, 94110",37.7331285,-122.41458
"2063 41st Ave San Francisco, CA, 94116",37.7482943,-122.499894
"27 Talbert St San Francisco, CA, 94134",37.711238,-122.405863
"1436 Ingalls St San Francisco, CA, 94124",37.7300104,-122.383427
"218 Ordway St San Francisco, CA, 94134",37.7199527,-122.4030442
"8200 Oceanview Ter #408 San Francisco, CA, 94132",37.710275,-122.4674343
"130 Brazil Ave San Francisco, CA, 94112",37.72392,-122.433735
"208 N Lake Merced Hls #1A San Francisco, CA, 94132-2921",37.713405,-122.4833831
"3981 Alemany Blvd #110 San Francisco, CA, 94132",37.7104012,-122.4688543
"3981 Alemany Blvd #209 San Francisco, CA, 94132",37.7104012,-122.4688543
"301 Crescent Ct #3216 San Francisco, CA, 94134",37.711177,-122.388087
"135 Farallones St San Francisco, CA, 94112",37.713901,-122.4573318
"20 Drake St San Francisco, CA, 94112",37.7104563,-122.437092
"124 Majestic Ave San Francisco, CA, 94112",37.7166764,-122.4523839
"8100 Oceanview Ter #204 San Francisco, CA, 94132",37.7104841,-122.4666514
"840 Potrero Ave San Francisco, CA, 94110",37.7587203,-122.4070766
"157 A St South San Francisco, CA, 94080",37.6525109,-122.430569
"501 Crescent Way #5310 San Francisco, CA, 94134",37.711929,-122.388606
"1211 Bowdoin St San Francisco, CA, 94134-1819",37.7208539,-122.4083041
"501 Crescent Way #5212 San Francisco, CA, 94134",37.711929,-122.388606
"370 Stoneridge Ln San Francisco, CA, 94134",37.71023,-122.426265
"8300 Oceanview Ter #205 San Francisco, CA, 94132",37.710069,-122.467411
"678 Moscow St San Francisco, CA, 94112",37.71704220000001,-122.4310962
"104 Trumbull St San Francisco, CA, 94112",37.730553,-122.42815
"1514 Quesada Ave San Francisco, CA, 94124",37.73173999999999,-122.388098
"215 Red Rock Way #J204 San Francisco, CA, 94131",37.7456324,-122.4425825
"875 La Playa St #383 San Francisco, CA, 94121",37.7716662,-122.5103364
"167 Vienna St San Francisco, CA, 94112-2107",37.7255619,-122.426221
"227 Panorama Dr San Francisco, CA, 94131",37.749014,-122.452401
"874 Silver Ave San Francisco, CA, 94134",37.7287754,-122.4177948
"519 Garfield St San Francisco, CA, 94132",37.719536,-122.4675741
"2247 45th Ave San Francisco, CA, 94116",37.7446551,-122.5039959
"1884 Bush St San Francisco, CA, 94109",37.7878096,-122.4283142
"747 Lyon St #2 San Francisco, CA, 94115",37.7778468,-122.4436402
"619 Haight St San Francisco, CA, 94117-3304",37.77161299999999,-122.432482
"50 Jerrold Ave #409 San Francisco, CA, 94124",37.7277605,-122.3695908
"3861 25th St San Francisco, CA, 94114",37.749907,-122.426374
"887 47th Ave San Francisco, CA, 94121-3207",37.771768,-122.508035
"20 Meadowbrook Dr San Francisco, CA, 94132",37.7338025,-122.4843943
"1117 Alabama St #A San Francisco, CA, 94110",37.753741,-122.410786
"1237 Chestnut St #5 San Francisco, CA, 94109-1048",37.8021057,-122.4240269
"195 25th Ave #101 San Francisco, CA, 94121",37.7859942,-122.48533
"192 Coleman St San Francisco, CA, 94124",37.7273661,-122.3688885
"156 Guerrero St #101 San Francisco, CA, 94103",37.768724,-122.424851
"111 Monterey Blvd San Francisco, CA, 94131",37.7314015,-122.4378595
"710 17th Ave San Francisco, CA, 94121",37.774559,-122.475473
"701 Minna St #14 San Francisco, CA, 94103",37.7767297,-122.4127364
"2032 Ellis St San Francisco, CA, 94107",37.78166,-122.439744
"88 King St #110 San Francisco, CA, 94107",37.7806904,-122.3892201
"1483 Sutter St #404 San Francisco, CA, 94109-5476",37.7867735,-122.4241362
