address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings,gallery_url
1285 Fitzgerald,"San Francisco, CA, 94124",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319563
615 Sargent St,"San Francisco, CA, 94132",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318591
287 Thrift St,"San Francisco, CA, 94112",2.0,2.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318610
427 Randolph St,"San Francisco, CA, 94132",2.0,1.5,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318874
323 Orizaba Ave,"San Francisco, CA, 94132",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318305
285 Bridgeview,"San Francisco, CA, 94124",2.0,2.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318295
31 Maddux Ave,"San Francisco, CA, 94124",2.0,1.0,700000,2,1313,7596,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323906
16 Tioga Ave,"San Francisco, CA, 94134",2.0,1.0,699999,2,1313,7596,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318877
227 Randolph St,"San Francisco, CA, 94132",2.0,1.0,725000,2,1360,7867,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318583
3431 Mission St #4,"San Francisco, CA, 94110",2.0,1.0,725000,2,1360,7867,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318920
227 Garfield St,"San Francisco, CA, 94132",2.0,1.0,725000,2,1360,7867,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318307
5800 3rd St,"San Francisco, CA, 94124",2.0,2.0,728000,2,1366,7899,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319845
5800 3rd St #1212,"San Francisco, CA, 94124",2.0,2.0,729000,2,1367,7910,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322800
116 Caine Ave,"San Francisco, CA, 94112",2.0,1.0,748000,2,1403,8116,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320041
194 Gaven St,"San Francisco, CA, 94134",2.0,1.0,748000,2,1403,8116,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318990
38 Grafton Ave,"San Francisco, CA, 94112",2.0,1.0,749000,2,1405,8127,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323535
5108 Diamond Heights #A,"San Francisco, CA, 94131",2.0,2.0,749000,2,1405,8127,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323848
2686 44th Ave,"San Francisco, CA, 94116",2.0,1.0,749000,2,1405,8127,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320709
2017 Grant Ave #1,"San Francisco, CA, 94133",2.0,1.0,749000,2,1405,8127,TBD
419 Lakeview Ave,"San Francisco, CA, 94112",2.0,1.0,749000,2,1405,8127,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319236 
